"ID"	"Completeness"	"Contamination"	"Strain.heterogeneity"	"# contigs (>= 0 bp)"	"# contigs (>= 1000 bp)"	"# contigs (>= 5000 bp)"	"# contigs (>= 10000 bp)"	"# contigs (>= 25000 bp)"	"# contigs (>= 50000 bp)"	"Total length (>= 0 bp)"	"Total length (>= 1000 bp)"	"Total length (>= 5000 bp)"	"Total length (>= 10000 bp)"	"Total length (>= 25000 bp)"	"Total length (>= 50000 bp)"	"# contigs"	"Largest contig"	"Total length"	"GC (%)"	"N50"	"N90"	"auN"	"L50"	"L90"	"# N's per 100 kbp"	"o_antigen"	"h1"	"serogroup"	"serovar"	"Predicted.antigenic.profile"	"Predicted.serotype"	"ST"
"20"	"ERR11192379"	95.59	0.07	0	52	29	22	21	19	14	4628921	4621271	4604652	4598361	4567120	4391554	34	678832	4624649	52.17	405533	88932	399626.7	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"21"	"ERR11192399"	99.71	0.07	0	56	29	23	22	19	15	4836356	4827039	4811989	4805698	4752979	4606088	36	741224	4831985	52.11	405368	88933	423672.8	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"22"	"ERR11192417"	99.71	0.07	0	58	29	21	19	18	14	4843286	4834102	4811051	4799562	4787871	4644282	35	741323	4838196	52.11	405533	153515	443379.3	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"23"	"ERR11196271"	99.71	0.07	0	63	32	24	23	21	16	4922009	4912329	4891991	4885700	4854055	4673320	38	741348	4916537	52.05	405531	76883	417520	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"24"	"ERR11196301"	99.71	0.07	0	55	32	23	21	19	15	4841529	4834469	4809273	4797595	4766279	4622690	36	741408	4837263	52.11	405533	88932	437966.7	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"25"	"ERR11196304"	99.71	0.07	0	56	30	22	21	20	16	4839069	4830156	4806882	4800591	4788685	4645095	36	741097	4834518	52.11	405533	88933	413649	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"26"	"ERR11196399"	99.71	0.07	0	62	35	26	21	18	14	4889051	4878758	4846864	4814740	4776940	4633350	44	741359	4884944	52.11	405533	153515	438915	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"27"	"ERR11196450"	99.71	0.07	0	57	28	21	19	18	14	4843217	4833671	4814724	4801978	4787380	4644485	35	746219	4838549	52.12	405827	153515	444361.2	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"28"	"ERR11196507"	99.71	0.07	0	57	30	24	22	20	14	4922538	4913253	4898192	4886677	4854170	4622134	37	743535	4918199	52.07	405533	88932	434988.3	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"29"	"ERR11196515"	99.71	0.07	0	57	29	22	20	18	14	4852027	4843089	4824301	4811587	4787293	4643703	35	741963	4847242	52.11	405533	153515	442726.7	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"30"	"ERR11196531"	99.71	0.07	0	69	38	27	25	22	17	4835334	4825871	4794137	4778763	4733641	4552023	44	609291	4829965	52.12	400432	76883	351876.7	6	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"31"	"ERR11196540"	99.63	0.07	0	64	36	27	26	23	17	4840786	4831732	4804211	4797920	4748160	4531180	42	741213	4835845	52.11	405513	76883	365558.1	5	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"32"	"ERR11196560"	99.71	0.07	0	59	29	21	20	19	15	4836512	4826514	4803187	4796896	4785010	4641425	36	741100	4831632	52.11	400394	153515	421563.9	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"33"	"ERR11196585"	99.71	0.07	0	54	28	21	20	19	15	4836541	4827393	4807337	4801046	4788564	4641673	35	741206	4832339	52.11	405533	153515	430272.4	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"34"	"ERR11196597"	99.71	0.07	0	62	31	24	21	20	15	4930463	4920235	4901500	4882276	4870210	4696730	38	743836	4925427	52.06	405533	88933	436212.3	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"35"	"ERR11196708"	99.71	0.07	0	59	30	24	23	21	17	4833823	4824217	4809167	4802876	4769410	4622849	36	609484	4827825	52.11	373153	88933	349689.7	6	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"36"	"ERR11196829"	99.71	0.07	0	56	30	21	20	18	14	4839269	4830329	4803526	4797235	4767448	4623859	36	741177	4834691	52.11	405533	153515	441293.9	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"37"	"ERR11196865"	99.71	0.07	0	61	33	24	22	20	16	4839799	4830507	4804880	4793240	4763472	4619882	39	609161	4834601	52.11	405533	88933	378409.1	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"38"	"ERR11196902"	99.71	0.07	0	57	30	21	20	19	15	4837523	4828511	4801008	4795058	4782922	4639332	37	678730	4833535	52.11	406016	153535	387357.5	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"39"	"ERR11197013"	99.71	0.07	0	50	24	19	18	17	14	4817882	4809293	4793674	4787383	4775111	4671584	31	1269714	4814002	52.13	405549	153578	600911.9	4	10	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"40"	"ERR14757536"	99.67	0.07	0	67	37	29	26	22	18	4825731	4817420	4798039	4776861	4712082	4572772	44	741951	4821579	52.15	330558	76883	358120.8	6	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"41"	"ERR8568688"	99.71	0.07	0	89	62	51	48	37	31	4804799	4797420	4764879	4747375	4561218	4345231	67	424882	4800396	52.21	149648	61515	176508.2	11	31	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"42"	"ERR8568689"	99.56	0.07	0	136	117	97	85	62	33	4936347	4930020	4871777	4783398	4377517	3343676	121	427364	4932906	52.22	75761	23287	112870.4	19	65	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"1494"
"43"	"ERR8568691"	99.71	0.07	0	98	78	63	57	47	34	4906437	4899128	4848735	4801556	4615528	4119157	84	346335	4903480	52.29	127084	39527	137092.2	13	41	0	"1,9,12[Vi]"	"g,p"	"-"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"1494"
"44"	"ERR8568692"	99.41	0.07	0	70	41	31	31	28	22	4816246	4809247	4780002	4780002	4726548	4511949	46	463570	4812223	52.13	285454	72002	271354.7	7	20	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"1487"
"45"	"ERR8568696"	99.41	0.07	0	95	64	51	48	42	28	4797961	4790041	4752989	4730143	4641452	4141559	70	539665	4793641	52.19	161183	45228	206875.3	9	32	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"1487"
"46"	"ERR8568698"	99.71	0.07	0	69	43	36	34	29	23	4808624	4802007	4785280	4774092	4677611	4446045	48	690402	4805115	52.14	310290	69105	289080.5	6	22	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"47"	"ERR8568699"	99.41	0.07	0	109	79	64	61	49	31	4789880	4781300	4727913	4705078	4489973	3804351	86	475250	4785895	52.22	98455	36259	154666.4	12	43	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"1487"
"48"	"ERR8568700"	99.71	0.07	0	91	59	50	44	39	29	4803001	4794153	4768322	4729036	4658339	4267675	65	529480	4797965	52.19	161183	47771	189561.6	10	31	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"49"	"ERR8568706"	99.71	0.07	0	66	34	27	26	24	19	4820473	4810737	4792810	4786519	4755270	4570926	43	732635	4816515	52.12	405296	71894	368343.4	5	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"50"	"ERR8568707"	99.41	0.07	0	69	35	26	25	23	16	4816493	4807335	4784641	4778350	4746980	4493544	42	729173	4811494	52.12	376706	76883	388377.9	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"1487"
"51"	"ERR8568710"	99.41	0.07	0	62	31	25	23	20	15	4814768	4806179	4788674	4776797	4721492	4539648	38	1225687	4810774	52.14	405527	76883	550130	4	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"1487"
"52"	"ERR8568715"	99.71	0.07	0	103	77	67	60	50	36	4800950	4793888	4765030	4711211	4534584	4034886	82	330757	4796984	52.17	98751	36268	129288.8	14	43	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"53"	"ERR8568716"	99.71	0.07	0	60	35	29	26	24	21	4830176	4823951	4809743	4791489	4768764	4646890	39	645878	4826415	52.14	310434	76883	334881.4	6	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"54"	"ERR8568749"	98.24	0.07	0	93	59	51	46	34	28	4715284	4704951	4684412	4649395	4434939	4211967	67	421844	4710112	52.17	167910	45057	189269.3	10	29	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"55"	"ERR8568751"	99.71	0.07	0	62	33	26	23	21	17	4825707	4817279	4798441	4781020	4751435	4609864	39	678880	4821091	52.12	401526	88873	383201.6	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"56"	"ERR8568753"	99.71	0.07	0	60	31	27	25	22	18	4819296	4810867	4802037	4790731	4743068	4601654	37	735686	4814679	52.13	401526	76883	381982.3	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"57"	"ERR8568754"	99.71	0.07	0	69	34	29	24	21	16	4822216	4811533	4798874	4761057	4701485	4517142	42	735686	4817007	52.12	405340	76883	383490.3	5	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"58"	"ERR8568755"	99.71	0.07	0	69	33	27	26	24	19	4825215	4813999	4797371	4791080	4760507	4576372	42	610032	4819996	52.12	331043	81787	338740.3	6	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"59"	"ERR8568760"	99.41	0.07	0	79	51	45	40	33	29	4811025	4803734	4788813	4758026	4639320	4496922	56	416232	4806710	52.17	174370	62366	214251.1	9	27	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"60"	"ERR8568767"	99.71	0.07	0	112	83	71	64	50	34	4788390	4781045	4749055	4706145	4448316	3859154	88	312299	4784021	52.27	115411	29973	124527.9	15	45	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"61"	"ERR8568768"	99.71	0.07	0	108	82	67	64	50	30	4787085	4779483	4732006	4710077	4463939	3684196	89	249188	4783485	52.28	101691	32875	124900.7	14	45	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"62"	"ERR8568769"	99.56	0.07	0	210	186	150	123	65	26	4724216	4717906	4608947	4414965	3401034	2015951	190	244753	4720359	52.49	44187	12728	56042.6	34	109	0	"1,9,12[Vi]"	"g,p"	"-"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"63"	"SRR10257879"	99.41	0.15	0	95	68	60	54	43	29	4825621	4817757	4798749	4760823	4567201	4026022	74	338314	4821426	52.2	163353	45012	157429.5	11	36	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"-:g,p:-"	"I -:g,p:-"	"10"
"64"	"SRR10286361"	99.71	0.12	0	42	31	28	27	26	21	4813337	4808470	4801593	4796434	4784404	4597397	34	608792	4810718	52.14	331029	72869	315520.5	6	18	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"65"	"SRR10502094"	96.62	0.22	0	84	50	42	37	30	26	4754127	4743310	4725099	4691776	4579216	4425570	58	375702	4748607	52.09	229204	61822	212391.1	9	24	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"66"	"SRR10990340"	99.71	0.15	0	66	36	26	24	21	16	4845823	4836828	4812396	4800693	4744669	4545988	43	678896	4841009	52.12	331851	88873	357769.4	6	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"67"	"SRR11101205"	99.71	0.22	0	87	61	51	45	37	31	4848726	4841540	4812555	4770648	4628502	4390488	66	342272	4844585	52.18	161635	58121	177317.2	10	31	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"68"	"SRR11450564"	99.71	0.15	0	61	31	26	23	22	16	4848950	4840026	4830968	4813230	4795230	4570315	38	740764	4844099	52.11	401508	88873	398370.8	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"69"	"SRR12495628"	99.41	0.12	0	29	27	26	25	24	21	4805870	4805109	4803638	4798337	4786715	4671217	28	652266	4805726	52.13	263648	77801	339293.1	6	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"70"	"SRR12698164"	99.71	0.07	0	61	32	25	23	21	15	4861444	4852653	4835728	4823860	4790437	4569120	39	678929	4856834	52.12	405539	88874	382667.1	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"71"	"SRR12698170"	99.71	0.07	0	59	28	25	20	19	14	4831338	4821587	4815100	4782984	4767273	4570002	36	678113	4826519	52.15	405539	153576	388009.2	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"72"	"SRR12740289"	99.71	0.07	0	75	43	33	28	23	17	4833162	4823123	4793371	4759345	4684114	4470169	51	426083	4828124	52.13	331636	76889	302224.1	7	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"73"	"SRR12740299"	99.41	0.07	0	70	38	31	26	24	19	4833752	4824414	4808319	4777433	4743718	4568303	45	678734	4828595	52.14	331900	76889	340703	6	16	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"74"	"SRR12741664"	99.71	0.07	0	77	50	42	38	30	23	4834891	4826271	4804660	4781575	4639079	4393055	57	419453	4830452	52.15	232055	52623	226445.5	8	23	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"75"	"SRR12819799"	99.71	0.07	0	51	30	22	21	19	14	4832505	4825922	4806349	4800058	4768635	4587565	34	746136	4828673	52.11	405364	153578	439149.8	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"76"	"SRR12991092"	99.63	0.07	0	104	48	31	29	26	19	4891242	4874107	4842718	4830341	4780555	4546697	61	477411	4882135	52.09	282261	69078	288687.5	7	17	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"77"	"SRR13202874"	99.71	0.07	0	59	31	25	20	19	14	4807990	4799186	4786824	4756772	4740320	4569027	38	739453	4803367	52.13	405539	153576	427717	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"78"	"SRR13202959"	99.71	0.07	0	64	31	24	21	20	14	4841920	4831552	4815343	4792719	4780680	4573220	38	678867	4835891	52.11	405539	153576	387912	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"79"	"SRR13202982"	99.71	0.07	0	66	36	29	26	22	16	4841677	4832672	4816019	4795109	4724077	4494605	43	609745	4836853	52.12	375044	73665	348621.7	6	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"80"	"SRR13202984"	99.71	0.07	0	59	29	24	22	19	13	4841575	4831735	4819852	4808276	4757399	4541685	37	740670	4836970	52.11	405539	153576	437392.7	5	11	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"81"	"SRR13238717"	99.71	0.07	0	66	34	26	23	18	14	4845520	4836180	4817339	4799038	4712196	4566129	41	741988	4840361	52.11	405539	88873	436563.5	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"82"	"SRR13482631"	99.71	0.15	0	43	20	17	15	14	12	4810640	4804341	4800499	4788713	4763958	4681589	24	1302287	4806830	52.12	476848	191688	639895.6	3	9	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"83"	"SRR13643361"	99.71	0.07	0	63	31	24	20	19	15	4846855	4837510	4823512	4799919	4785670	4639603	38	742188	4841691	52.12	405539	88873	437253.6	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"84"	"SRR13686438"	99.71	0.07	0	61	29	23	19	19	15	4851503	4842298	4830041	4807513	4807513	4661446	35	678873	4845817	52.11	405389	153577	389589.7	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"85"	"SRR14345228"	99.71	0.15	0	65	37	30	28	26	21	4853538	4844806	4829247	4816617	4776147	4578869	44	678879	4848987	52.11	304647	62699	323558.7	6	18	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"86"	"SRR14707920"	99.71	0.15	0	58	29	23	20	19	14	4824360	4815750	4803074	4786380	4771388	4577734	36	678873	4819931	52.14	405539	153576	389603.5	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"87"	"SRR15051715"	99.71	0.07	0	65	32	26	22	20	15	4850649	4840407	4828150	4803359	4763829	4569266	40	494170	4845408	52.11	351471	153576	339016	6	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"88"	"SRR15051720"	99.71	0.07	0	61	32	23	21	19	16	4855522	4846517	4823226	4811521	4788905	4668398	38	678903	4850186	52.12	401544	134232	375268.9	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"89"	"SRR15053930"	99.71	0.07	0	65	35	29	25	23	16	4846980	4838157	4827637	4803184	4769834	4508909	41	494164	4841826	52.12	351508	88873	324214.8	6	14	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"90"	"SRR15146531"	99.71	0.15	0	65	34	25	23	20	14	4848723	4839076	4814039	4802308	4747242	4527469	42	739931	4843932	52.11	405539	88873	421329.6	5	12	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"91"	"SRR15853658"	99.71	0.07	0	60	35	28	27	24	18	4819444	4812517	4796408	4790117	4742183	4533926	39	745697	4814894	52.13	405584	73259	391130.9	5	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"92"	"SRR16089886"	99.71	0.07	0	80	44	34	32	27	20	4831616	4821563	4796812	4784700	4698032	4431748	51	541646	4825888	52.12	223262	73600	284153.2	7	19	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"93"	"SRR16774935"	99.71	0.22	0	71	38	26	25	23	16	4864158	4853649	4819200	4812909	4780115	4526135	46	745288	4858650	52.11	301670	88872	352228.3	6	15	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
"94"	"SRR16821738"	99.71	0.07	0	36	28	24	23	21	15	4821043	4817462	4808557	4803397	4773652	4557752	31	747511	4819279	52.11	401535	88917	421014.9	5	13	0	"1,9,12[Vi]"	"g,p"	"D1"	"Dublin"	"9:g,p:-"	"Dublin"	"10"
